F,n,x0,force_x,force_y,abs(force),max_height
0.1,3.4,0.1,12.4322,-1.22915,12.4928,3.76614
0.25,3.4,0.1,6.59449,-0.680473,6.62951,2.7265
0.5,3.4,0.1,4.17095,-0.435746,4.19365,2.15612
1,3.4,0.1,2.73727,-0.286405,2.75221,1.73345
0.05,3.5,0.1,20.1759,-1.86759,20.2622,4.81739
0.1,3.5,0.1,12.4562,-1.22969,12.5168,3.76998
0.25,3.5,0.1,6.60184,-0.681032,6.63688,2.72886
0.5,3.5,0.1,4.17395,-0.436125,4.19667,2.15718
1,3.5,0.1,2.73849,-0.286634,2.75345,1.73413
0.05,3.6,0.1,20.2317,-1.8672,20.3177,4.82495
0.1,3.6,0.1,12.4795,-1.23025,12.54,3.77367
0.25,3.6,0.1,6.60893,-0.681577,6.64398,2.73125
0.5,3.6,0.1,4.17683,-0.436491,4.19957,2.15824
1,3.6,0.1,2.73967,-0.286853,2.75465,1.73481
0.05,3.7,0.1,20.2874,-1.86685,20.3732,4.83266
0.1,3.7,0.1,12.5022,-1.23074,12.5627,3.77736
0.25,3.7,0.1,6.61587,-0.682081,6.65094,2.7337
0.5,3.7,0.1,4.17965,-0.436832,4.20242,2.1593
1,3.7,0.1,2.74083,-0.287059,2.75582,1.73539
0.05,3.8,0.1,20.344,-1.86526,20.4293,4.8404
0.1,3.8,0.1,12.5255,-1.23066,12.5858,3.78116
0.25,3.8,0.1,6.62303,-0.682393,6.6581,2.73578
0.5,3.8,0.1,4.18259,-0.437091,4.20537,2.16039
1,3.8,0.1,2.74205,-0.287229,2.75705,1.73585
0.05,3.9,0.1,20.3955,-1.86475,20.4805,4.84783
0.1,3.9,0.1,12.5469,-1.23107,12.6071,3.78459
0.25,3.9,0.1,6.62955,-0.682838,6.66462,2.73725
0.5,3.9,0.1,4.18524,-0.437395,4.20803,2.16148
1,3.9,0.1,2.74313,-0.287413,2.75815,1.73631
0.05,4,0.1,20.4443,-1.86384,20.5291,4.85445
0.1,4,0.1,12.567,-1.23126,12.6272,3.78797
0.25,4,0.1,6.63568,-0.683205,6.67076,2.73862
0.5,4,0.1,4.18775,-0.437663,4.21055,2.1626
1,4,0.1,2.74416,-0.28758,2.75919,1.73678
0.05,0,0.2,23.5959,-0.938496,23.6145,5.31758
0.1,0,0.2,13.9456,-0.733649,13.9649,4.0641
0.25,0,0.2,7.16451,-0.524793,7.18371,2.88022
0.5,0,0.2,4.47976,-0.407736,4.49828,2.25261
1,0,0.2,2.91527,-0.320008,2.93278,1.79552
0.05,0.1,0.2,17.893,-1.81898,17.9853,4.7879
0.1,0.1,0.2,11.1637,-1.2491,11.2333,3.73533
0.25,0.1,0.2,6.1027,-0.768951,6.15095,2.71034
0.5,0.1,0.2,3.96509,-0.543555,4.00217,2.15182
1,0.1,0.2,2.66462,-0.395245,2.69377,1.73757
0.05,0.2,0.2,15.7098,-2.1672,15.8586,4.48789
0.1,0.2,0.2,10.1584,-1.46464,10.2634,3.55389
