F,n,x0,force_x,force_y,abs(force),max_height
0.1,0.6,0.2,31.2887,-2.65611,31.4012,4.35636
0.25,0.6,0.2,15.3469,-1.3655,15.4075,3.00264
0.5,0.6,0.2,9.31511,-0.853474,9.35412,2.30952
1,0.6,0.2,5.93442,-0.557493,5.96055,1.81922
0.05,0.7,0.2,50.4974,-4.43419,50.6917,5.62089
0.1,0.7,0.2,29.7529,-2.69867,29.875,4.25215
0.25,0.7,0.2,14.9151,-1.39526,14.9803,2.96107
0.5,0.7,0.2,9.14496,-0.871458,9.18639,2.28903
1,0.7,0.2,5.86579,-0.567521,5.89318,1.80909
0.05,0.8,0.2,47.3256,-4.42505,47.532,5.43453
0.1,0.8,0.2,28.4525,-2.70943,28.5812,4.15374
0.25,0.8,0.2,14.5302,-1.40789,14.5983,2.92076
0.5,0.8,0.2,8.99032,-0.879884,9.03327,2.26851
1,0.8,0.2,5.80277,-0.5724,5.83093,1.79888
0.05,0.9,0.2,44.9158,-4.38146,45.129,5.2745
0.1,0.9,0.2,27.4076,-2.69377,27.5397,4.06742
0.25,0.9,0.2,14.2067,-1.4063,14.2762,2.88421
0.5,0.9,0.2,8.85821,-0.880334,8.90184,2.24989
1,0.9,0.2,5.74851,-0.572971,5.777,1.78962
0.05,1,0.2,43.0966,-4.30966,43.3116,5.14126
0.1,1,0.2,26.5786,-2.65786,26.7111,3.99375
0.25,1,0.2,13.9393,-1.39393,14.0088,2.8526
0.5,1,0.2,8.7471,-0.87471,8.79073,2.23374
1,1,0.2,5.70254,-0.570254,5.73099,1.78156
0.05,1.1,0.2,41.7261,-4.21775,41.9387,5.03302
0.1,1.1,0.2,25.9281,-2.60827,26.059,3.93342
0.25,1.1,0.2,13.7222,-1.37426,13.7908,2.82613
0.5,1.1,0.2,8.65589,-0.864959,8.699,2.22016
1,1.1,0.2,5.66464,-0.565288,5.69278,1.77486
0.05,1.2,0.2,40.7245,-4.11567,40.9319,4.94994
0.1,1.2,0.2,25.4342,-2.55127,25.5619,3.88526
0.25,1.2,0.2,13.5523,-1.35031,13.6194,2.80516
0.5,1.2,0.2,8.58392,-0.85269,8.62616,2.20938
1,1.2,0.2,5.63474,-0.558917,5.66239,1.76945
0.05,1.3,0.2,39.9919,-4.00699,40.1921,4.88618
0.1,1.3,0.2,25.0593,-2.48968,25.1827,3.84798
0.25,1.3,0.2,13.4198,-1.32367,13.4849,2.78848
0.5,1.3,0.2,8.52736,-0.838825,8.56851,2.20068
1,1.3,0.2,5.6113,-0.551651,5.63835,1.7653
0.05,1.4,0.2,39.4549,-3.89383,39.6466,4.84073
0.1,1.4,0.2,24.7738,-2.42527,24.8922,3.81953
0.25,1.4,0.2,13.3159,-1.29541,13.3788,2.77549
0.5,1.4,0.2,8.48272,-0.823984,8.52265,2.19406
1,1.4,0.2,5.59286,-0.543834,5.61923,1.76198
0.05,1.5,0.2,39.0887,-3.78268,39.2713,4.80712
0.1,1.5,0.2,24.569,-2.36152,24.6822,3.79909
0.25,1.5,0.2,13.2394,-1.26707,13.2999,2.76584
0.5,1.5,0.2,8.44985,-0.808985,8.48848,2.1891
1,1.5,0.2,5.57946,-0.535892,5.60513,1.75953
0.05,1.6,0.2,38.8807,-3.68347,39.0548,4.78697
0.1,1.6,0.2,24.4463,-2.3042,24.5547,3.78503
0.25,1.6,0.2,13.1944,-1.24135,13.2527,2.75921
0.5,1.6,0.2,8.43214,-0.795319,8.46957,2.18592
1,1.6,0.2,5.57339,-0.52864,5.5984,1.75821
0.05,1.7,0.2,38.7463,-3.58345,38.9116,4.77364
0.1,1.7,0.2,24.3573,-2.24646,24.4607,3.7763
0.25,1.7,0.2,13.1597,-1.21533,13.2157,2.75443
0.5,1.7,0.2,8.41816,-0.781446,8.45435,2.18333
1,1.7,0.2,5.56854,-0.521263,5.59288,1.75702
0.05,1.8,0.2,38.6677,-3.48476,38.8244,4.7658
0.1,1.8,0.2,24.2959,-2.18972,24.3944,3.77006
0.25,1.8,0.2,13.1343,-1.18976,13.188,2.75138
0.5,1.8,0.2,8.4079,-0.767794,8.44288,2.18191
1,1.8,0.2,5.56512,-0.513997,5.58881,1.75643
0.05,1.9,0.2,38.6555,-3.39118,38.8039,4.76431
0.1,1.9,0.2,24.2671,-2.13554,24.3609,3.76687
0.25,1.9,0.2,13.1199,-1.16511,13.1715,2.74901
0.5,1.9,0.2,8.40228,-0.754566,8.43609,2.18059
1,1.9,0.2,5.56359,-0.50693,5.58664,1.75587
0.05,2,0.2,38.6806,-3.30178,38.8213,4.76583
0.1,2,0.2,24.2589,-2.08403,24.3482,3.7663
0.25,2,0.2,13.1134,-1.1417,13.163,2.7486
0.5,2,0.2,8.4002,-0.741998,8.43291,2.18054
1,2,0.2,5.56362,-0.500214,5.58606,1.75596
0.05,2.1,0.2,38.7455,-3.21767,38.8789,4.77126
0.1,2.1,0.2,24.2704,-2.03532,24.3556,3.76781
0.25,2.1,0.2,13.1139,-1.11945,13.1615,2.74872
0.5,2.1,0.2,8.4011,-0.730012,8.43275,2.18057
1,2.1,0.2,5.56488,-0.493795,5.58675,1.75604
0.05,2.2,0.2,38.8352,-3.13805,38.9618,4.77462
0.1,2.2,0.2,24.2953,-1.98925,24.3766,3.76846
0.25,2.2,0.2,13.1194,-1.09839,13.1653,2.74845
0.5,2.2,0.2,8.40425,-0.718663,8.43492,2.18046
1,2.2,0.2,5.5671,-0.487713,5.58843,1.75608
0.05,2.3,0.2,38.9359,-3.0602,39.056,4.78697
0.1,2.3,0.2,24.3263,-1.94436,24.4039,3.77346
0.25,2.3,0.2,13.1268,-1.07788,13.171,2.75026
0.5,2.3,0.2,8.40796,-0.707589,8.43768,2.18142
1,2.3,0.2,5.56939,-0.48177,5.59019,1.75666
0.05,2.4,0.2,39.0637,-2.98807,39.1778,4.7978
0.1,2.4,0.2,24.3712,-1.90248,24.4453,3.77892
0.25,2.4,0.2,13.1393,-1.0586,13.1819,2.75238
0.5,2.4,0.2,8.41387,-0.697153,8.4427,2.18253
1,2.4,0.2,5.57261,-0.476158,5.59291,1.75729
0.05,2.5,0.2,39.1875,-2.918,39.296,4.80701
0.1,2.5,0.2,24.4156,-1.86219,24.4865,3.78334
0.25,2.5,0.2,13.152,-1.04018,13.1931,2.75409
0.5,2.5,0.2,8.41989,-0.687204,8.44788,2.18344
1,2.5,0.2,5.57585,-0.470815,5.59569,1.7578
0.05,2.6,0.2,39.3347,-2.85317,39.438,4.81892
0.1,2.6,0.2,24.4715,-1.82456,24.5394,3.78739
0.25,2.6,0.2,13.1687,-1.02285,13.2084,2.75572
0.5,2.6,0.2,8.42762,-0.677807,8.45483,2.18432
