F,n,x0,force_x,force_y,abs(force),max_height
0.25,2.6,0.1,14.5703,-0.637896,14.5842,2.91038
0.5,2.6,0.1,8.96283,-0.402402,8.97186,2.25942
1,2.6,0.1,5.76345,-0.265093,5.76954,1.79099
0.05,2.7,0.1,50.3817,-2.06353,50.4239,5.5002
0.1,2.7,0.1,29.1167,-1.22326,29.1424,4.15689
0.25,2.7,0.1,14.5824,-0.634081,14.5962,2.91131
0.5,2.7,0.1,8.9676,-0.400371,8.97653,2.25987
1,2.7,0.1,5.76533,-0.264023,5.77137,1.7912
0.05,2.8,0.1,50.5131,-2.05225,50.5547,5.50622
0.1,2.8,0.1,29.165,-1.21638,29.1904,4.15972
0.25,2.8,0.1,14.5963,-0.630882,14.6099,2.91239
0.5,2.8,0.1,8.97321,-0.398651,8.98206,2.2604
1,2.8,0.1,5.76758,-0.26311,5.77358,1.79145
0.05,2.9,0.1,50.6383,-2.04107,50.6794,5.51242
0.1,2.9,0.1,29.2106,-1.20959,29.2357,4.16256
0.25,2.9,0.1,14.6095,-0.627747,14.6229,2.91348
0.5,2.9,0.1,8.97848,-0.396967,8.98725,2.26092
1,2.9,0.1,5.76974,-0.262218,5.77569,1.7917
0.05,3,0.1,50.7527,-2.03024,50.7933,5.51669
0.1,3,0.1,29.2522,-1.20305,29.277,4.16471
0.25,3,0.1,14.6214,-0.624722,14.6347,2.91446
0.5,3,0.1,8.98325,-0.395343,8.99194,2.26142
1,3,0.1,5.77164,-0.261357,5.77756,1.79194
0.05,3.1,0.1,50.8645,-2.02002,50.9046,5.52176
0.1,3.1,0.1,29.2927,-1.19684,29.3171,4.16734
0.25,3.1,0.1,14.633,-0.621856,14.6462,2.9155
0.5,3.1,0.1,8.98792,-0.393804,8.99654,2.26194
1,3.1,0.1,5.77353,-0.260541,5.77941,1.79218
0.05,3.2,0.1,50.9713,-2.01008,51.011,5.52487
0.1,3.2,0.1,29.3315,-1.19083,29.3556,4.16865
0.25,3.2,0.1,14.6441,-0.619081,14.6572,2.91598
0.5,3.2,0.1,8.99236,-0.392314,9.00091,2.26221
1,3.2,0.1,5.77533,-0.259753,5.78117,1.79233
0.05,3.3,0.1,51.0793,-2.00289,51.1185,5.52806
0.1,3.3,0.1,29.3701,-1.18609,29.394,4.17005
0.25,3.3,0.1,14.6551,-0.616776,14.6681,2.91655
0.5,3.3,0.1,8.99677,-0.391052,9.00527,2.26246
1,3.3,0.1,5.77712,-0.259076,5.78293,1.79245
0.05,3.4,0.1,51.1803,-1.99482,51.2192,5.53115
0.1,3.4,0.1,29.4063,-1.18101,29.43,4.17133
0.25,3.4,0.1,14.6655,-0.614378,14.6784,2.91704
0.5,3.4,0.1,9.00091,-0.389753,9.00935,2.26273
1,3.4,0.1,5.77881,-0.258384,5.78458,1.79259
0.05,3.5,0.1,51.2731,-1.98653,51.3115,5.53357
0.1,3.5,0.1,29.44,-1.17595,29.4634,4.17235
0.25,3.5,0.1,14.6751,-0.61202,14.6879,2.91741
0.5,3.5,0.1,9.00478,-0.388484,9.01316,2.26291
1,3.5,0.1,5.78038,-0.257711,5.78612,1.79267
0.05,3.6,0.1,51.3962,-1.96838,51.4338,5.53712
0.1,3.6,0.1,29.4855,-1.16596,29.5085,4.17395
0.25,3.6,0.1,14.6886,-0.607731,14.7012,2.91805
0.5,3.6,0.1,9.01038,-0.386257,9.01866,2.26323
1,3.6,0.1,5.78275,-0.256555,5.78843,1.79283
0.05,3.7,0.1,51.4809,-1.9593,51.5182,5.53932
0.1,3.7,0.1,29.5155,-1.16053,29.5383,4.17483
0.25,3.7,0.1,14.697,-0.605249,14.7095,2.91836
0.5,3.7,0.1,9.01375,-0.38493,9.02197,2.26338
1,3.7,0.1,5.7841,-0.255854,5.78976,1.7929
0.05,3.8,0.1,51.5321,-1.94828,51.5689,5.54025
0.1,3.8,0.1,29.5326,-1.15436,29.5551,4.17509
0.25,3.8,0.1,14.7016,-0.602548,14.7139,2.91842
0.5,3.8,0.1,9.01538,-0.38351,9.02353,2.26339
1,3.8,0.1,5.78467,-0.255112,5.79029,1.79289
0.05,3.9,0.1,51.6126,-1.94008,51.6491,5.54241
0.1,3.9,0.1,29.5615,-1.14944,29.5838,4.17599
0.25,3.9,0.1,14.7097,-0.600278,14.7219,2.91874
0.5,3.9,0.1,9.01863,-0.382294,9.02673,2.26354
1,3.9,0.1,5.78598,-0.254468,5.79157,1.79296
0.05,4,0.1,51.6995,-1.93288,51.7356,5.54482
0.1,4,0.1,29.5927,-1.14501,29.6148,4.177
0.25,4,0.1,14.7187,-0.59822,14.7308,2.91912
0.5,4,0.1,9.0223,-0.381188,9.03035,2.26374
1,4,0.1,5.78747,-0.25388,5.79304,1.79305
0.05,0,0.2,47.2001,-0.936391,47.2094,5.31721
0.1,0,0.2,27.9066,-0.732954,27.9162,4.06466
0.25,0,0.2,14.3353,-0.524619,14.3449,2.88057
0.5,0,0.2,8.96264,-0.407696,8.9719,2.25283
1,0,0.2,5.83209,-0.320011,5.84087,1.79566
0.05,0.1,0.2,39.1021,-2.44925,39.1788,4.97541
0.1,0.1,0.2,24.0591,-1.61559,24.1133,3.84856
0.25,0.1,0.2,12.9181,-0.939079,12.9522,2.76856
0.5,0.1,0.2,8.28919,-0.636356,8.31358,2.18665
1,0.1,0.2,5.50846,-0.445202,5.52643,1.75782
0.05,0.2,0.2,36.8216,-3.07232,36.9495,4.73661
0.1,0.2,0.2,23.2057,-1.98285,23.2903,3.71494
0.25,0.2,0.2,12.6947,-1.11001,12.7431,2.71141
0.5,0.2,0.2,8.20271,-0.729094,8.23505,2.1574
1,0.2,0.2,5.47156,-0.494978,5.49391,1.74291
0.05,0.3,0.2,36.4572,-3.46758,36.6218,4.55417
0.1,0.3,0.2,23.2149,-2.21195,23.3201,3.63168
0.25,0.3,0.2,12.7533,-1.21385,12.811,2.68754
0.5,0.3,0.2,8.23711,-0.784431,8.27437,2.14806
1,0.3,0.2,5.48754,-0.524246,5.51252,1.73889
0.05,0.4,0.2,36.9586,-3.73837,37.1472,4.57443
0.1,0.4,0.2,23.5775,-2.36545,23.6959,3.66915
0.25,0.4,0.2,12.9118,-1.28127,12.9752,2.70929
0.5,0.4,0.2,8.31033,-0.819706,8.35066,2.15989
1,0.4,0.2,5.51936,-0.542668,5.54598,1.7449
0.05,0.5,0.2,37.8499,-3.92924,38.0533,4.69066
0.1,0.5,0.2,24.0783,-2.47079,24.2048,3.73717
0.25,0.5,0.2,13.1014,-1.3259,13.1683,2.73994
0.5,0.5,0.2,8.39386,-0.842604,8.43605,2.17567
1,0.5,0.2,5.55496,-0.55448,5.58257,1.75255
0.05,0.6,0.2,38.903,-4.06553,39.1149,4.80647
0.1,0.6,0.2,24.6202,-2.5435,24.7512,3.8039
0.25,0.6,0.2,13.2939,-1.35535,13.3628,2.76936
0.5,0.6,0.2,8.47672,-0.857356,8.51997,2.19077
1,0.6,0.2,5.58991,-0.561982,5.61809,1.76005
0.05,0.7,0.2,39.998,-4.16261,40.214,4.9085
0.1,0.7,0.2,25.1561,-2.59306,25.2894,3.86239
0.25,0.7,0.2,13.4769,-1.37426,13.5468,2.79515
0.5,0.7,0.2,8.55441,-0.866525,8.59819,2.20412
1,0.7,0.2,5.62248,-0.566557,5.65095,1.76667
0.05,0.8,0.2,41.0773,-4.231,41.2946,4.99647
0.1,0.8,0.2,25.6654,-2.62584,25.7994,3.91294
0.25,0.8,0.2,13.6459,-1.3857,13.7161,2.81738
0.5,0.8,0.2,8.6254,-0.871774,8.66934,2.21557
1,0.8,0.2,5.65209,-0.569091,5.68066,1.77242
0.05,0.9,0.2,42.1113,-4.27796,42.328,5.07377
0.1,0.9,0.2,26.1387,-2.64624,26.2723,3.95626
0.25,0.9,0.2,13.7993,-1.3917,13.8693,2.83615
0.5,0.9,0.2,8.68925,-0.874214,8.73311,2.22534
1,0.9,0.2,5.67861,-0.570176,5.70717,1.77735
0.05,1,0.2,43.0966,-4.30966,43.3116,5.14126
0.1,1,0.2,26.5786,-2.65786,26.7111,3.99375
0.25,1,0.2,13.9393,-1.39393,14.0088,2.8526
0.5,1,0.2,8.7471,-0.87471,8.79073,2.23374
1,1,0.2,5.70254,-0.570254,5.73099,1.78156
0.05,1.1,0.2,44.0079,-4.32794,44.2202,5.19984
0.1,1.1,0.2,26.9768,-2.66217,27.1079,4.02627
0.25,1.1,0.2,14.064,-1.39317,14.1328,2.86658
0.5,1.1,0.2,8.79838,-0.873719,8.84166,2.24094
1,1.1,0.2,5.7237,-0.569583,5.75197,1.78518
0.05,1.2,0.2,44.8652,-4.33767,45.0744,5.25245
0.1,1.2,0.2,27.3436,-2.6617,27.4728,4.05456
0.25,1.2,0.2,14.1769,-1.39043,14.2449,2.87859
0.5,1.2,0.2,8.84453,-0.871729,8.88738,2.24715
1,1.2,0.2,5.74267,-0.568403,5.77073,1.78829
0.05,1.3,0.2,45.6589,-4.33987,45.8647,5.29888
0.1,1.3,0.2,27.6759,-2.65714,27.8032,4.07947
0.25,1.3,0.2,14.2777,-1.38611,14.3449,2.8891
0.5,1.3,0.2,8.88546,-0.868966,8.92785,2.25249
1,1.3,0.2,5.75941,-0.566838,5.78724,1.79094
0.05,1.4,0.2,46.4119,-4.33828,46.6142,5.34051
0.1,1.4,0.2,27.9863,-2.65056,28.1116,4.10156
0.25,1.4,0.2,14.3709,-1.381,14.4371,2.8984
0.5,1.4,0.2,8.92321,-0.865826,8.96512,2.25718
1,1.4,0.2,5.77487,-0.565087,5.80245,1.79332
0.05,1.5,0.2,47.1282,-4.33425,47.3271,5.37896
0.1,1.5,0.2,28.2771,-2.64268,28.4003,4.12152
0.25,1.5,0.2,14.4574,-1.37542,14.5227,2.90662
0.5,1.5,0.2,8.95813,-0.862467,8.99955,2.26142
1,1.5,0.2,5.78915,-0.563227,5.81648,1.79541
0.05,1.6,0.2,47.8057,-4.32838,48.0013,5.41383
0.1,1.6,0.2,28.549,-2.63402,28.6703,4.13978
0.25,1.6,0.2,14.5376,-1.36963,14.602,2.91398
0.5,1.6,0.2,8.9905,-0.859026,9.03144,2.26515
1,1.6,0.2,5.80238,-0.561332,5.82947,1.79727
0.05,1.7,0.2,48.4208,-4.31896,48.6131,5.44475
0.1,1.7,0.2,28.791,-2.62366,28.9103,4.15531
0.25,1.7,0.2,14.608,-1.3633,14.6715,2.92042
0.5,1.7,0.2,9.01865,-0.855354,9.05912,2.26833
1,1.7,0.2,5.81382,-0.559333,5.84066,1.79888
0.05,1.8,0.2,48.9901,-4.30866,49.1792,5.47289
0.1,1.8,0.2,29.0119,-2.61307,29.1293,4.16935
0.25,1.8,0.2,14.6715,-1.35698,14.7341,2.92606
0.5,1.8,0.2,9.04396,-0.85172,9.08398,2.27121
1,1.8,0.2,5.82405,-0.557359,5.85066,1.80027
0.05,1.9,0.2,49.5645,-4.30145,49.7508,5.50108
0.1,1.9,0.2,29.2343,-2.60414,29.3501,4.18284
0.25,1.9,0.2,14.7357,-1.35135,14.7975,2.93153
0.5,1.9,0.2,9.06964,-0.848427,9.10924,2.27393
1,1.9,0.2,5.83453,-0.555557,5.86092,1.80166
0.05,2,0.2,50.0983,-4.29524,50.2821,5.52555
0.1,2,0.2,29.4367,-2.59568,29.5509,4.1951
0.25,2,0.2,14.7933,-1.34598,14.8544,2.93619
0.5,2,0.2,9.09258,-0.845289,9.13179,2.27632
1,2,0.2,5.84381,-0.553836,5.86999,1.80285
0.05,2.1,0.2,50.6141,-4.28791,50.7954,5.54888
0.1,2.1,0.2,29.6324,-2.58709,29.7451,4.20697
0.25,2.1,0.2,14.8488,-1.34067,14.9092,2.94071
0.5,2.1,0.2,9.11467,-0.842201,9.15349,2.27852
1,2.1,0.2,5.85279,-0.552152,5.87878,1.80393
0.05,2.2,0.2,51.0942,-4.2786,51.273,5.5703
0.1,2.2,0.2,29.8117,-2.5777,29.923,4.2174
0.25,2.2,0.2,14.8991,-1.33516,14.9588,2.94487
0.5,2.2,0.2,9.13457,-0.839052,9.17302,2.28054
1,2.2,0.2,5.86083,-0.550447,5.88663,1.8049
0.05,2.3,0.2,51.5896,-4.27326,51.7663,5.59171
0.1,2.3,0.2,29.9977,-2.57038,30.1076,4.22789
0.25,2.3,0.2,14.9516,-1.33046,15.0107,2.94911
0.5,2.3,0.2,9.15546,-0.8363,9.19358,2.28253
1,2.3,0.2,5.86934,-0.548938,5.89495,1.80591
0.05,2.4,0.2,52.043,-4.26655,52.2176,5.61129
0.1,2.4,0.2,30.1655,-2.56249,30.2741,4.23685
0.25,2.4,0.2,14.9984,-1.32562,15.0569,2.95268
0.5,2.4,0.2,9.17402,-0.8335,9.21181,2.28448
1,2.4,0.2,5.87685,-0.547409,5.90229,1.80678
